fold,arm,accuracy,precision,recall,f1,roc_auc,dataset,feature_strategy,n_quantum_features_kept
1,classical_only,0.5806451612903226,0.25,0.09090909090909091,0.13333333333333333,0.38181818181818183,A_Full_ALSvsHC,Full_214_LASSO,
1,quantum_only,0.6451612903225806,0.5,0.09090909090909091,0.15384615384615385,0.41363636363636364,A_Full_ALSvsHC,Full_214_LASSO,
1,ensemble_avg,0.6129032258064516,0.3333333333333333,0.09090909090909091,0.14285714285714285,0.36818181818181817,A_Full_ALSvsHC,Full_214_LASSO,
1,hybrid,0.5483870967741935,0.3333333333333333,0.2727272727272727,0.3,0.4,A_Full_ALSvsHC,Full_214_LASSO,8.0
2,classical_only,0.6129032258064516,0.375,0.3,0.3333333333333333,0.44761904761904764,A_Full_ALSvsHC,Full_214_LASSO,
2,quantum_only,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.6857142857142857,A_Full_ALSvsHC,Full_214_LASSO,
2,ensemble_avg,0.6774193548387096,0.5,0.1,0.16666666666666666,0.5142857142857142,A_Full_ALSvsHC,Full_214_LASSO,
2,hybrid,0.6129032258064516,0.25,0.1,0.14285714285714285,0.33333333333333337,A_Full_ALSvsHC,Full_214_LASSO,8.0
3,classical_only,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.6071428571428572,A_Full_ALSvsHC,Full_214_LASSO,
3,quantum_only,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.5857142857142856,A_Full_ALSvsHC,Full_214_LASSO,
3,ensemble_avg,0.6774193548387096,0.0,0.0,0.0,0.6571428571428573,A_Full_ALSvsHC,Full_214_LASSO,
3,hybrid,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.6952380952380953,A_Full_ALSvsHC,Full_214_LASSO,8.0
4,classical_only,0.6,0.25,0.1,0.14285714285714285,0.58,A_Full_ALSvsHC,Full_214_LASSO,
4,quantum_only,0.6666666666666666,0.5,0.1,0.16666666666666666,0.495,A_Full_ALSvsHC,Full_214_LASSO,
4,ensemble_avg,0.6333333333333333,0.0,0.0,0.0,0.65,A_Full_ALSvsHC,Full_214_LASSO,
4,hybrid,0.6666666666666666,0.5,0.1,0.16666666666666666,0.7075,A_Full_ALSvsHC,Full_214_LASSO,8.0
5,classical_only,0.6666666666666666,0.5,0.2,0.2857142857142857,0.43999999999999995,A_Full_ALSvsHC,Full_214_LASSO,
5,quantum_only,0.6,0.0,0.0,0.0,0.64,A_Full_ALSvsHC,Full_214_LASSO,
5,ensemble_avg,0.7333333333333333,1.0,0.2,0.3333333333333333,0.48000000000000004,A_Full_ALSvsHC,Full_214_LASSO,
5,hybrid,0.7,0.6666666666666666,0.2,0.3076923076923077,0.5475,A_Full_ALSvsHC,Full_214_LASSO,8.0
6,classical_only,0.5806451612903226,0.0,0.0,0.0,0.4795454545454545,A_Full_ALSvsHC,Full_214_LASSO,
6,quantum_only,0.6451612903225806,0.5,0.09090909090909091,0.15384615384615385,0.6136363636363636,A_Full_ALSvsHC,Full_214_LASSO,
6,ensemble_avg,0.6129032258064516,0.0,0.0,0.0,0.5499999999999999,A_Full_ALSvsHC,Full_214_LASSO,
6,hybrid,0.5806451612903226,0.0,0.0,0.0,0.3795454545454545,A_Full_ALSvsHC,Full_214_LASSO,8.0
7,classical_only,0.7096774193548387,0.6,0.3,0.4,0.6333333333333333,A_Full_ALSvsHC,Full_214_LASSO,
7,quantum_only,0.6451612903225806,0.3333333333333333,0.1,0.15384615384615385,0.4,A_Full_ALSvsHC,Full_214_LASSO,
7,ensemble_avg,0.6451612903225806,0.0,0.0,0.0,0.5476190476190477,A_Full_ALSvsHC,Full_214_LASSO,
7,hybrid,0.6774193548387096,0.5,0.2,0.2857142857142857,0.5785714285714285,A_Full_ALSvsHC,Full_214_LASSO,5.0
8,classical_only,0.6129032258064516,0.25,0.1,0.14285714285714285,0.4714285714285714,A_Full_ALSvsHC,Full_214_LASSO,
8,quantum_only,0.6774193548387096,0.5,0.1,0.16666666666666666,0.5619047619047619,A_Full_ALSvsHC,Full_214_LASSO,
8,ensemble_avg,0.6774193548387096,0.0,0.0,0.0,0.44285714285714295,A_Full_ALSvsHC,Full_214_LASSO,
8,hybrid,0.6774193548387096,0.5,0.3,0.375,0.530952380952381,A_Full_ALSvsHC,Full_214_LASSO,8.0
9,classical_only,0.7666666666666667,0.8,0.4,0.5333333333333333,0.6575,A_Full_ALSvsHC,Full_214_LASSO,
9,quantum_only,0.6333333333333333,0.0,0.0,0.0,0.47,A_Full_ALSvsHC,Full_214_LASSO,
9,ensemble_avg,0.6333333333333333,0.0,0.0,0.0,0.645,A_Full_ALSvsHC,Full_214_LASSO,
9,hybrid,0.6666666666666666,0.5,0.2,0.2857142857142857,0.52,A_Full_ALSvsHC,Full_214_LASSO,8.0
10,classical_only,0.5333333333333333,0.16666666666666666,0.1,0.125,0.465,A_Full_ALSvsHC,Full_214_LASSO,
10,quantum_only,0.5333333333333333,0.0,0.0,0.0,0.44,A_Full_ALSvsHC,Full_214_LASSO,
10,ensemble_avg,0.6666666666666666,0.5,0.1,0.16666666666666666,0.45000000000000007,A_Full_ALSvsHC,Full_214_LASSO,
