dataset,feature_strategy,model,n_folds,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,recall_mean,roc_auc_mean,roc_auc_std
A_Full_ALSvsHC,Full_214_LASSO,QSVM,15,0.6258064516129032,0.07207624700475375,0.28491277212639443,0.14339267324592447,0.3877248677248677,0.22909090909090907,0.5212554112554113,0.12246605579225388
A_Full_ALSvsHC,Full_214_LASSO,VQC,15,0.4996415770609319,0.1004570322364066,0.3929154023924139,0.12009658036775715,0.33356541606541606,0.49696969696969695,0.4989834054834056,0.1246988870077329
A_Full_ALSvsHC,Full_214_LASSO,QNN,15,0.46831541218637995,0.12461119464879544,0.4407083863965584,0.10223421479607127,0.3467592592592592,0.6206060606060607,0.49173160173160174,0.12175417989060407
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,15,0.6318279569892472,0.08483124301548994,0.29393211206914266,0.1643709422830825,0.44135531135531136,0.2412121212121212,0.5256565656565656,0.08579208450987147
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,15,0.5215053763440859,0.08978057698834717,0.4046097004692939,0.13194212896457855,0.3436173046080167,0.5096969696969696,0.5321168831168832,0.1269776542651774
A_Full_ALSvsHC,Curated_Pool_LASSO,QNN,15,0.4709677419354838,0.08056216927798733,0.4386918100805862,0.08237522020230498,0.34183878442392374,0.6315151515151515,0.5142352092352093,0.07528851237895322
B_StrictDysarthricALSvsHC,Full_214_LASSO,QSVM,15,0.6956043956043956,0.09841586880967887,0.8040584993445405,0.07023647894069619,0.7629000629000628,0.86,0.5957575757575757,0.1526367576895546
B_StrictDysarthricALSvsHC,Full_214_LASSO,VQC,15,0.5791208791208792,0.15483534867230736,0.6711284747817255,0.13327249071562672,0.7868350168350169,0.603030303030303,0.5297727272727273,0.19572930912146755
B_StrictDysarthricALSvsHC,Full_214_LASSO,QNN,15,0.5366300366300367,0.12454597217561303,0.658481170245876,0.11519414439825683,0.7150048100048099,0.6218181818181818,0.448989898989899,0.14071743315800572
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QSVM,15,0.657142857142857,0.091842101575393,0.7812495005630018,0.07064210120283829,0.7325030525030525,0.8430303030303031,0.5254040404040404,0.10286300184701477
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,VQC,15,0.6289377289377289,0.10306235036606899,0.7094111913771357,0.09793750002364593,0.8276719576719577,0.6351515151515151,0.5758838383838384,0.14978774957307217
B_StrictDysarthricALSvsHC,Curated_Pool_LASSO,QNN,15,0.5992673992673992,0.06382236736168101,0.7153856187784037,0.05882444348080197,0.7575343175343173,0.6939393939393939,0.5114141414141414,0.13054457209416614
